PID,item,AAUTa,AAUTq
22,1,1,2
22,2,0,0
22,3,1,2
22,4,1,2
22,5,0,0
22,6,1,1
22,7,1,1
22,8,0,0
22,9,1,3
22,10,0,0
22,11,1,2
22,12,1,2
22,13,1,3
22,14,0,0
23,1,1,3
23,2,1,3
23,3,0,0
23,6,0,1
23,7,0,0
23,8,0,0
23,9,1,3
23,10,0,0
23,11,1,3
23,12,0,0
23,13,0,0
23,14,0,0
25,1,1,2
25,2,0,0
25,3,0,0
25,4,0,1
25,5,0,-3
25,6,0,0
25,7,0,1
25,8,0,1
25,9,0,0
25,10,0,0
25,11,1,4
25,13,0,0
25,14,0,-2
26,1,1,4
26,2,1,3
26,3,1,3
26,4,0,1
26,5,0,0
26,7,1,2
26,8,1,3
26,9,1,4
26,10,1,2
26,11,1,2
26,12,0,1
26,13,1,3
26,14,1,3
27,1,1,5
27,2,1,5
27,3,1,5
27,4,0,0
27,5,0,0
27,6,0,0
27,7,0,1
27,8,0,1
27,9,0,0
27,10,0,0
27,11,0,0
27,12,0,0
27,13,0,0
27,14,0,0
28,1,1,5
28,2,0,1
28,3,0,0
28,4,0,0
28,5,0,0
28,6,0,0
28,7,0,1
28,8,0,0
28,9,0,0
28,10,0,1
28,11,0,0
28,12,0,0
28,13,1,3
28,14,1,4
29,1,1,4
29,2,0,0
29,3,0,1
29,4,0,1
29,5,0,0
29,7,1,3
29,8,0,-1
29,9,0,1
29,10,0,1
29,11,0,1
29,12,0,1
29,13,0,0
29,14,0,0
30,2,1,2
30,3,1,2
30,4,1,3
30,5,0,0
30,6,1,3
30,7,1,3
30,8,1,3
30,9,1,4
30,10,1,2
30,11,0,1
30,12,1,4
30,13,1,4
30,14,1,2
31,1,1,4
31,2,1,5
31,3,1,4
31,4,0,0
31,5,0,0
31,6,0,0
31,7,0,2
31,8,0,2
31,9,0,2
31,10,0,1
31,11,0,1
31,12,1,5
31,13,0,0
31,14,0,1
32,1,1,4
32,2,1,1
32,3,1,2
32,4,0,1
32,5,0,1
32,6,0,0
32,7,1,2
32,8,1,2
32,9,0,3
32,10,1,3
32,11,0,0
32,12,0,1
32,13,1,3
32,14,0,1
33,2,0,0
33,3,0,0
33,4,0,-2
33,6,0,1
33,7,0,0
33,8,0,0
33,9,0,0
33,10,0,0
33,11,0,0
33,12,0,0
33,13,0,2
33,14,0,0
35,1,0,1
35,2,0,2
35,3,0,2
35,4,0,0
35,5,0,0
35,6,0,1
35,7,0,2
35,8,1,5
35,9,0,2
35,10,0,2
35,11,1,5
35,12,0,1
35,13,0,0
35,14,0,0
36,1,1,3
36,2,1,2
36,3,1,1
36,4,0,0
36,5,1,3
36,6,1,2
36,7,1,1
36,8,0,0
36,9,1,2
36,10,1,1
36,12,0,0
36,13,1,3
36,14,1,2
37,1,1,3
37,2,1,0
37,3,1,2
37,4,0,0
37,5,0,0
37,6,0,0
37,7,1,3
37,8,1,3
37,9,0,1
37,10,1,2
37,11,1,3
37,12,1,3
37,13,1,2
37,14,1,2